#datum;m_txx;m_txxd;m_txa;m_dtx0;m_dtx25;m_dtx30;m_dtx35
1913-07;26.4;1913-07-15;21.5;0;3;0;0
1913-08;27.0;1913-08-06;22.4;0;9;0;0
1913-09;28.0;1913-09-05;20.3;0;9;0;0
1913-10;23.2;1913-10-08;16.7;0;0;0;0
1913-11;19.0;1913-11-13;11.4;0;0;0;0
1913-12;12.8;1913-12-04;5.7;2;0;0;0
1914-01;4.1;1914-01-04;-1.4;19;0;0;0
1914-02;13.4;1914-02-27;2.4;15;0;0;0
1914-03;19.1;1914-03-10;11.3;0;0;0;0
1914-04;24.1;1914-04-30;17.4;0;0;0;0
1914-05;24.5;1914-05-24;19.4;0;0;0;0
1914-06;27.6;1914-06-29;21.9;0;7;0;0
1914-07;31.2;1914-07-23;23.9;0;12;1;0
1914-08;28.4;1914-08-04;24.2;0;14;0;0
1914-09;27.8;1914-09-11;19.1;0;4;0;0
1914-10;18.4;1914-10-29;13.6;0;0;0;0
1914-11;13.7;1914-11-05;6.6;2;0;0;0
1914-12;13.3;1914-12-15;6.8;0;0;0;0
1915-01;9.1;1915-01-03;4.9;3;0;0;0
1915-02;14.6;1915-02-14;6.2;6;0;0;0
1915-03;16.1;1915-03-18;9.0;2;0;0;0
1915-04;21.1;1915-04-27;14.4;0;0;0;0
1915-05;26.0;1915-05-18;20.4;0;2;0;0
1915-06;29.4;1915-06-13;23.6;0;12;0;0
1915-07;31.0;1915-07-14;24.4;0;14;2;0
1915-08;26.4;1915-08-29;22.4;0;9;0;0
1915-09;23.6;1915-09-18;18.4;0;0;0;0
1915-10;20.7;1915-10-02;11.7;0;0;0;0
1915-11;15.1;1915-11-03;6.9;3;0;0;0
1915-12;16.1;1915-12-10;9.2;1;0;0;0
1916-01;10.9;1916-01-23;6.4;1;0;0;0
1916-02;12.1;1916-02-28;5.2;2;0;0;0
1916-03;20.0;1916-03-30;14.8;0;0;0;0
1916-04;21.2;1916-04-07;16.0;0;0;0;0
